date,open,close,high,low,volume
2024-01-02,11.44,11.47,11.67,11.44,12572.2
2024-01-03,11.48,11.54,11.65,11.46,11546.0
2024-01-04,11.62,11.49,11.62,11.43,9294.0
2024-01-05,11.48,11.39,11.61,11.33,8820.96
2024-01-08,11.37,11.2,11.38,11.18,6872.0
2024-01-09,11.18,11.33,11.49,11.14,9540.96
2024-01-10,11.33,11.25,11.43,11.15,7316.87
2024-01-11,11.54,11.41,11.54,11.18,10343.0
2024-01-12,11.43,11.53,11.71,11.31,11293.0
2024-01-15,11.62,11.59,11.62,11.36,13015.0
2024-01-16,11.65,11.54,11.7,11.39,10991.0
2024-01-17,11.54,11.38,11.62,11.36,10470.0
2024-01-18,11.38,11.06,11.48,10.8,17888.0
2024-01-19,11.23,10.91,11.23,10.88,8881.2
2024-01-22,10.86,10.22,10.91,10.04,17860.46
2024-01-23,10.19,10.16,10.22,9.85,14191.25
2024-01-24,10.14,10.29,10.42,9.92,12995.0
2024-01-25,10.29,10.88,10.9,10.28,11733.0
2024-01-26,10.88,11.09,11.34,10.77,13792.0
2024-01-29,11.03,10.38,11.2,10.32,18067.0
2024-01-30,10.34,9.87,10.4,9.86,17564.4
2024-01-31,9.64,9.54,10.0,9.24,20323.0
2024-02-01,9.37,9.01,9.39,8.84,22977.47
2024-02-02,9.17,8.4,9.19,8.09,29119.0
2024-02-05,8.32,7.89,8.35,7.42,50308.0
2024-02-06,7.96,8.43,8.67,6.43,45448.66
2024-02-07,8.53,8.68,8.89,7.7,44346.77
2024-02-08,9.2,9.06,9.2,8.24,36153.0
2024-02-19,8.87,8.84,9.14,8.69,20496.58
2024-02-20,9.01,8.84,9.01,8.58,11850.82
2024-02-21,8.79,9.09,9.35,8.7,17764.0
2024-02-22,9.11,9.16,9.22,8.99,11774.0
2024-02-23,9.18,9.2,9.23,8.99,10787.0
2024-02-26,9.25,9.31,9.47,9.12,14390.62
2024-02-27,9.42,9.35,9.42,9.22,11052.2
2024-02-28,9.39,8.84,9.61,8.76,22167.01
2024-02-29,8.69,9.11,9.12,8.68,15117.86
2024-03-01,9.15,9.07,9.21,8.94,12764.6
2024-03-04,9.07,8.98,9.15,8.79,12358.98
2024-03-05,9.03,8.77,9.03,8.76,12454.0
2024-03-06,8.68,8.84,8.95,8.67,11518.4
2024-03-07,8.86,8.66,8.96,8.66,10040.0
2024-03-08,8.62,8.75,8.84,8.56,12589.0
2024-03-11,8.78,8.92,8.92,8.66,10335.64
2024-03-12,8.87,9.14,9.15,8.87,17345.06
2024-03-13,9.14,9.01,9.16,8.92,14009.62
2024-03-14,8.97,9.02,9.09,8.91,10370.6
2024-03-15,8.99,9.11,9.12,8.92,12950.0
2024-03-18,9.14,9.28,9.29,9.13,16019.0
2024-03-19,9.34,9.29,9.34,9.14,14499.34
2024-03-20,9.3,9.35,9.38,9.18,15691.17
2024-03-21,9.37,9.41,9.47,9.21,13317.57
2024-03-22,9.41,9.22,9.42,9.16,12147.0
2024-03-25,9.21,9.05,9.33,9.03,15171.17
2024-03-26,9.06,9.05,9.2,8.84,13333.0
2024-03-27,9.04,8.73,9.07,8.73,11881.0
2024-03-28,8.7,8.78,8.87,8.65,13287.0
2024-03-29,8.76,8.84,8.87,8.69,11627.8
2024-04-01,9.19,9.32,9.44,8.92,21391.78
